family,date,ff_to_iem_beta,iem_to_ff_beta,ff_to_iem_change,iem_to_ff_change,ff_to_iem_pct_change,iem_to_ff_pct_change
51:0902,2002-08-29,0.7444125874946386,0.020084053702535996,-0.00012299476743016236,-1.224523107774475e-05,-0.01651966277507869,-0.06093276736276533
51:0902,2002-08-30,0.7445014940622833,0.02008375333248039,-3.408819978545363e-05,-1.2545601133350653e-05,-0.004578451399446339,-0.06242742096340168
51:0902,2002-09-03,0.7444450649589178,0.019900155310221664,-9.051730315090545e-05,-0.00019614362339207686,-0.01215755234637588,-0.9760186392530242
51:0902,2002-09-04,0.7484937171585713,0.02046426537631504,0.003958134896502541,0.00036796644270130005,0.5316246786321246,1.8310159692431083
51:0902,2002-09-05,0.7411737471414058,0.020122273786582403,-0.003361835120662904,2.5974852968662504e-05,-0.4515345136962941,0.12925192372221384
51:0902,2002-09-06,0.741179814595607,0.020668020661090872,-0.0033557676664617286,0.0005717217274771313,-0.45071958230204956,2.844910544801115
51:0902,2002-09-09,0.7876651080895559,0.02044568851710632,0.04312952582748719,0.0003493895834925792,5.7928092162432145,1.7385767630485358
51:0902,2002-09-10,0.7470222762987503,0.020125908682287044,0.002486694036681558,2.9609748673303793e-05,0.33399263862264517,0.1473393124331841
51:0902,2002-09-16,0.74663917670086,0.01992768450726241,0.0021035944387912675,-0.0001686144263513302,0.282537797911561,-0.8390322362756063
51:0902,2002-09-17,0.7592053370873691,0.020093335959504823,0.014669754825300418,-2.9629741089172434e-06,1.9703228663337164,-0.014743879550683205
51:0902,2002-09-18,0.7440031993401971,0.020090377310418562,-0.0005323829218716325,-5.921623195178499e-06,-0.07150536986481316,-0.0294662376129059
51:0902,2002-09-19,0.7423650498144667,0.0201607038715609,-0.002170532447602014,6.440493794715799e-05,-0.2915283700756708,0.3204815879775362
51:0902,2002-09-20,0.7531533656927362,0.019986053473925073,0.008617783430667436,-0.00011024545968866747,1.1574709974887496,-0.5485858866493434
51:0902,2002-09-23,0.7320998384701427,0.020108156562817198,-0.012435743791926024,1.1857629203457232e-05,-1.6702685658277607,0.05900404468816776
51:1102,2002-10-07,1.1888457189949342,0.016519768453051434,0.44431013673286546,-0.0035765304805623066,59.67614541442734,-17.796960984592452
51:1102,2002-10-08,0.5734815603007033,0.028871260484946346,-0.17105402196136543,0.008774961551332606,-22.97459329501276,43.66456520337341
51:1102,2002-10-09,0.7424407192045456,0.02231265699401124,-0.0020948630575231553,0.002216358060397501,-0.2813650693709606,11.028687758472515
51:1102,2002-10-10,0.8244694892108516,0.015998013491147413,0.07993390694878288,-0.004098285442466328,10.736076132980168,-20.393234873767717
51:1102,2002-10-11,0.5383691846760305,0.02046829883564394,-0.20616639758603827,0.0003719999020301984,-27.690603712942476,1.8510866267418968
51:1102,2002-10-17,0.7638670065829989,0.020197116426656555,0.019331424320930157,0.00010081749304281448,2.596440624395262,0.5016719415642439
51:1102,2002-10-28,0.6787666191655001,0.026862562379560914,-0.06576896309656866,0.006766263445947173,-8.833555395263657,33.66920181819994
51:1102,2002-11-01,0.43797127767605454,0.013973026377624426,-0.3065643045860142,-0.006123272555989314,-41.17523888577655,-30.469653025250953
51:1102,2002-11-04,0.812004258682802,0.016182946801875913,0.06746867642073329,-0.003913352131737827,9.061847147150184,-19.472999205800146
51:1202,2002-11-14,0.7438777474141437,0.020103617541098975,-0.0006578348479250318,7.31860748523494e-06,-0.08835505832056806,0.036417688199261375
51:1202,2002-11-15,0.744535361175657,0.020093693356268753,-2.2108641173357313e-07,-2.6055773449870645e-06,-2.969453938814613e-05,-0.012965458732447938
51:1202,2002-11-18,0.7443222343469595,0.020094616768323463,-0.0002133479151091855,-1.682165290277371e-06,-0.02865516708563289,-0.008370522830269633
51:1202,2002-11-19,0.7444655037059953,0.020093816299660786,-7.007855607343849e-05,-2.4826339529541996e-06,-0.009412385081788014,-0.01235368741854085
51:1202,2002-11-20,0.7444249192923242,0.02008801352441444,-0.00011066296974449052,-8.285409199299681e-06,-0.014863355409861166,-0.04122853280929868
51:1202,2002-11-21,0.7427194104603677,0.020063849425920866,-0.0018161718017010164,-3.244950769287422e-05,-0.2439335130475662,-0.161470068693087
51:1202,2002-11-22,0.7446991191722716,0.02010051637685855,0.0001635369102028772,4.2174432448097154e-06,0.02196495561783828,0.020986168939572645
51:1202,2002-11-25,0.7446081573432834,0.020096665787363605,7.257508121472078e-05,3.6685374986411556e-07,0.009747698154898272,0.0018254791644769163
51:1202,2002-11-26,0.7443667088190039,0.020095907387576013,-0.00016887344306482088,-3.915460377278135e-07,-0.022681715567138494,-0.0019483489921266076
51:1202,2002-11-27,0.7445312266747723,0.020093401551024646,-4.355587296389629e-06,-2.8973825890940552e-06,-0.0005850072716681133,-0.014417493483080093
51:1202,2002-12-04,0.7446548935968437,0.020095223294147854,0.00011931133477494082,-1.07563946588618e-06,0.01602493388058712,-0.0053524256851445896
51:1202,2002-12-05,0.7447618762580241,0.020097533156088074,0.00022629399595541777,1.2342224743333574e-06,0.03039397999863016,0.00614154117835576
51:1202,2002-12-06,0.7464545248784804,0.020098473402228395,0.0019189426164116785,2.1744686146546455e-06,0.2577368579996531,0.010820244174500991
51:1202,2002-12-09,0.738054800999898,0.020175947550805488,-0.006480781262170776,7.964861719174723e-05,-0.8704461434174423,0.3963347552445306
